"Sign Out","Sair"
"Maximum length must be less then %1 symbols","O tamanho máximo deve ser menor que %1 símbolos"
"Tax Class","Classe de Impostos"
"The customer is now assigned to Customer Group %s.","O cliente agora faz parte do grupo de clientes %s."
"Would you like to change the Customer Group for this order?","Você gostaria de trocar o grupo de clientes para esta compra?"
"The VAT ID is valid.","O CPF/CNPJ é válido."
"The VAT ID entered (%s) is not a valid VAT ID.","O CPF/CNPJ informado (%s) não é um CPF/CNPJ válido."
"The VAT ID is valid. The current Customer Group will be used.","O CPF/CNPJ é válido. O Grupo de Clientes será usado."
"The VAT ID is valid but no Customer Group is assigned for it.","O CPF/CNPJ é válido mas nenhum Grupo de Cliente é atribuído a ele."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Baseado no CPF/CNPJ, o cliente pertence ao Grupo de Cliente %s."
"Something went wrong while validating the VAT ID.","Algum erro ocorreu ao validar o CPF/CNPJ."
"The customer would belong to Customer Group %s.","O cliente pertenceria ao Grupo de Clientes %s."
"There was an error detecting Customer Group.","Houve um erro detectado no Grupo de Cliente."
"Validate VAT Number","Validar número CPF/CNPJ"
"Customer Login","Login do Cliente"
"Create New Customer Account","Criar Nova Conta de Cliente"
"Date of Birth","Data de Nascimento"
"Bad request.","Pedido ruim."
"This confirmation key is invalid or has expired.","Esta senha de confirmação é invalida ou expirou."
"There was an error confirming the account","Ocorreu um erro ao confirmar sua conta"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Se você é um cliente registrado com CPF/CNPJ, por favor clique <a href=""%1"">aqui</a> para inserir seu endereço de entrega para o cálculo adequado do imposto."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Se você é um cliente registrado com CPF/CNPJ, por favor clique <a href=""%1"">aqui</a> para inserir seu endereço de cobrança para o cálculo adequado do imposto."
"Thank you for registering with %1.","Obrigado por registrar-se com %1."
"Please check your email for confirmation key.","Por favor, verifique a senha de confirmação em seu e-mail."
"This email does not require confirmation.","Este e-mail não requer confirmação."
"Wrong email.","E-mail errado."
"Your password reset link has expired.","Seu link de redefinição de senha expirou."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Você deve confirmar sua conta. Por favor, verifique seu e-mail para o link de confirmação ou <a href=""%1""> clique aqui</a> para um novo link."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Já existe uma conta com este endereço de e-mail. Se você tem certeza que é o seu endereço de e-mail, <a href=""%1""> clique aqui</a> para obter sua senha e acessar a sua conta."
"We can't save the customer.","Não é possível salvar o cliente."
"Please make sure your passwords match.","Por favor, certifique-se que as senhas estão iguais."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Se você é um cliente CPF/CNPJ registrado, por favor clique <a href=""%1"">aqui</a> para inserir seu endereço de cobrança para o cálculo adequado do imposto CPF/CNPJ."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Se você é um cliente registrado com CPF/CNPJ, por favor clique <a href=""%1"">aqui</a> para inserir seu endereço de cobrança para o cálculo adequado do imposto."
"Account Information","Informações da Conta"
"Invalid input","Entrada Inválida"
"You saved the account information.","Você gravou as informações da conta."
"Please enter new password.","Por favor, digite a nova senha."
"Confirm your new password.","Confirme sua nova senha."
"Something went wrong while changing the password.","Falha ao alterar a senha."
"Please correct the email address.","Por favor, corrija o endereço de e-mail."
"We're unable to send the password reset email.","Não é possível enviar o e-mail para redefinição de senha."
"Please enter your email.","Por favor, digite o seu e-mail."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Se houver uma conta associada com %1, você receberá um e-mail com um link para redefinir sua senha."
"My Account","Minha Conta"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Sua conta não foi confirmada. <a href=""%1"">Clique aqui</a> para reenviar o e-mail de confirmação."
"Invalid login or password.","Login ou senha inválida."
"A login and a password are required.","Um login e uma senha são necessários."
"New Password and Confirm New Password values didn't match.","Nova senha e Confirmar nova senha valores não coincidem."
"Please enter a new password.","Por favor, digite a nova senha."
"You updated your password.","Você atualizou sua senha."
"Something went wrong while saving the new password.","Problema ao tentar gravar a nova senha."
"You deleted the address.","Você excluiu o endereço."
"We can't delete the address right now.","Não é possível excluir o endereço agora."
"You saved the address.","Você salvou o endereço."
"We can't save the address.","Não é possível salvar o endereço."
"No customer ID defined.","Nenhum ID de cliente definido."
"Please correct the quote items and try again.","Por favor, corrija os itens citados e tente novamente."
"You have revoked the customer's tokens.","Você anulou seu Token de cliente."
"We can't find a customer to revoke.","Não encontramos o cliente para cancelar."
"You deleted the customer group.","Você excluiu o grupo de cliente."
"The customer group no longer exists.","O grupo de cliente não existe."
"Customers","Clientes"
"New Group","Novo Grupo"
"New Customer Groups","Novo Grupo de Clientes"
"Edit Group","Editar Grupo"
"Edit Customer Groups","Editar Grupo de Clientes"
"You saved the customer group.","Você gravou o grupo de clientes."
"Please select customer(s).","Por favor, selecione o(s) cliente(s)."
"Customer could not be deleted.","Cliente não pode ser apagado."
"You deleted the customer.","Você excluiu o cliente."
"Something went wrong while editing the customer.","Problema ao editar o cliente."
"Manage Customers","Gerenciar Clientes"
"Please correct the data sent.","Por favor, corrija os dados enviados."
"A total of %1 record(s) were updated.","Um total de %1 registro(s) foram atualizados."
"A total of %1 record(s) were deleted.","Um total de %1 registro(s) excluído(s)."
"The customer will receive an email with a link to reset password.","O cliente receberá um e-mail com o link para redefinir a senha."
"Something went wrong while resetting customer password.","Problema na redefinição da senha do cliente."
"You saved the customer.","Você gravou o cliente."
"Something went wrong while saving the customer.","Problema ao gravar o cliente."
"Page not found.","Página não encontrada."
"Online Customers","Clientes On-line"
"Customers Now Online","Clientes On-line Agora"
"Please define Wish List item ID.","Por favor, escolha o ID do item na Lista de Desejos."
"Please load Wish List item.","Por favor, carregue o item da lista de desejos."
"Login successful.","Login efetuado."
"""%1"" section source is not supported","Não há suporte para a fonte de seção ""%1"""
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 não se estende \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","Confirmação não necessária."
"Account already active","Conta já ativa"
"Invalid confirmation token","Token de confirmação inválido"
"This account is not confirmed.","Essa conta não está confirmada."
"This customer already exists in this store.","Este cliente já existe nesta loja."
"A customer with the same email already exists in an associated website.","Um cliente com o mesmo e-mail já existe em um website associado."
"The password doesn't match this account.","A senha não coincide com esta conta."
"Please enter a password with at least %1 characters.","Por favor, digite uma senha com pelo menos %1 caractere(s)."
"The password can't begin or end with a space.","A senha não pode começar ou terminar com um espaço."
"Reset password token mismatch.","Redefina a incompatibilidade de senha do Token."
"Reset password token expired.","Redefina a senha expirada do Token."
"Please correct the transactional account email type.","Por favor, corrija o tipo de e-mail em sua conta."
"Please enter the first name.","Por favor, informe o nome."
"Please enter the last name.","Por favor, informe o sobrenome."
"Please enter the street.","Por favor, informe a rua."
"Please enter the city.","Por favor, informe a cidade."
"Please enter the phone number.","Por favor, informe o telefone."
"Please enter the zip/postal code.","Por favor, informe o Cep."
"Please enter the country.","Por favor, informe o país."
"Please enter the state/province.","Por favor digite o estado/província."
"""%1"" is a required value.","""%1"" é um valor necessário."
"Global","Global"
"Per Website","Por Website"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Não podemos dividir contas de cliente globalmente quando contas compartilham endereço de e-mail idêntico e mais de um site."
"Billing Address","Endereço de Cobrança"
"Shipping Address","Endereço de entrega"
"-- Please Select --","-- Selecione uma opção --"
"Please enter a first name.","Por favor insira seu primeiro nome."
"Please enter a last name.","Por favor insira seu último nome."
"Please correct this email address: ""%1"".","Por favor, corrija este endereço de e-mail: ""%1""."
"Please enter a date of birth.","Por favor, insira a data de nascimento."
"Please enter a TAX/VAT number.","Por favor, insira seu CPF/CNPJ."
"Please enter a gender.","Por favor insira um gênero."
"Please enter a valid password reset token.","Por favor, insira senha válida de redefinição de Token."
"The password can not begin or end with a space.","A senha não pode começar ou terminar com um espaço."
"Admin","Admin"
"Attribute object is undefined","Atributo de objeto não definido"
"""%1"" invalid type entered.","""%1"" tipo inválido inserido."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contém caracteres não-alfabéticos ou não-numéricos."
"""%1"" is an empty string.","""%1"" é uma seqüência vazia."
"""%1"" contains non-numeric characters.","""%1"" contém caracteres não-numéricos."
"""%1"" contains non-alphabetic characters.","""%1"" contém caracteres não-alfabéticos."
"""%1"" is not a valid email address.","""%1"" não é um endereço de email válido."
"""%1"" is not a valid hostname.","""%1"" não é um hostname válido."
"""%1"" uses too many characters.","""%1"" usa muitos caracteres."
"'%value%' looks like an IP address, which is not an acceptable format.","""%value%"" o formato do endereço de IP informado não é aceitável."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' se parece com um nome de host DNS, mas nós não pudemos encontrar o TLD em uma lista conhecida."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' se parece com um nome de host DNS, mas contém um traço em uma posição inválida."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' se parece com um nome de host DNS, mas nós não podemos combiná-lo contra o esquema de nome de host para TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' se parece com um nome de host DNS, mas não pode extrair parte TLD."
"'%value%' does not look like a valid local network name.","'%value%' não se parece com um nome válido de rede local."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' se parece com um nome de rede local, que não é um formato aceitável."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' parece ser um nome de host DNS, mas a notação de punycode determinado não pode ser decodificada."
"""%1"" is not a valid URL.","""%1"" não é uma URL válida."
"""%1"" is not a valid date.","""%1"" não é uma data válida."
"""%1"" does not fit the entered date format.","""%1"" não se encaixa no formato de data inserida."
"Please enter a valid date between %1 and %2 at %3.","Por favor introduza uma data válida entre %1 e %2 no %3."
"Please enter a valid date equal to or greater than %1 at %2.","Por favor introduza uma data válida igual ou maior que %1 em %2."
"Please enter a valid date less than or equal to %1 at %2.","Por favor introduza uma data válida menor ou igual a %1 em %2."
"""%1"" is not a valid file extension.","""%1"" não é uma extensão de arquivo válido."
"""%1"" is not a valid file.","""%1"" não é um arquivo válido."
"""%1"" exceeds the allowed file size.","""%1"" excede o tamanho de arquivo permitidos."
"""%1"" is not a valid image format.","""%1"" não é um formato de imagem válido."
"""%1"" width exceeds allowed value of %2 px.","""%1"" excede a largura permitida de %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" altura excede o valor permitido de %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" comprimento deve ser igual ou maior que %2 caracteres."
"""%1"" length must be equal or less than %2 characters.","""%1"" comprimento deve ser igual ou menor que %2 caracteres."
"label","rótulo"
"Please enter a customer email.","Por favor digite um e-mail de cliente."
"A customer website ID must be specified when using the website scope.","Um ID de usuário no website deve ser especificado ao usar o escopo website."
"Customer Group","Grupo de clientes"
"You can't delete group \"%1\".","Você não pode apagar o grupo \"%1\"."
"Customer Group already exists.","Grupo de Clientes já existente."
"Cannot delete group.","Não é possível excluir grupo."
"Error during VAT Number verification.","Erro durante verificação do CPF/CNPJ."
"PHP SOAP extension is required.","Extensão PHP SOAP é necessária."
"VAT Number is valid.","Número de CPF/CNPJ é válido."
"Please enter a valid VAT number.","Por favor, insira um número válido de CPF/CNPJ."
"Your VAT ID was successfully validated.","O seu CPF/CNPJ foi validado com êxito."
"You will be charged tax.","Você será cobrado imposto."
"You will not be charged tax.","Você não será cobrado imposto."
"The VAT ID entered (%1) is not a valid VAT ID.","O CPF/CNPJ informado (%1) não é um CPF/CNPJ válido."
"Your Tax ID cannot be validated.","Seu CPF não pode ser validado."
"If you believe this is an error, please contact us at %1","Se você encontrou um erro, entre em contato conosco %1"
"Male","Masculino"
"Female","Feminino"
"Not Specified","Não especificado"
"Thank you for registering with","Obrigado por se registar na loja virtual"
"enter your billing address for proper VAT calculation","informe seu endereço de faturamento para cálculo das taxas"
"enter your shipping address for proper VAT calculation","insira o seu endereço de envio para calcular as taxas"
"message","mensagem"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exceção"
"InputException","InputException"
"Exception message","Mensagem de exceção"
"Validator Exception","Exceção do validador"
"Localized Exception","Exceção local (Localized Exception)"
"Label","Título"
"Select...","Selecionar..."
"Edit","Editar"
"Visitor","Visitante"
"Customer","Cliente"
"No item specified.","Nenhum item especificado."
"Are you sure you want to remove this item?","Tem certeza que deseja remover este item?"
"Personal Information","Informações Pessoais"
"Last Logged In:","Último login em:"
"Last Logged In (%1):","Último login em (%1):"
"Confirmed email:","Confirmar e-mail:"
"Account Created:","Conta criada:"
"Account Created on (%1):","Conta criada em (%1):"
"Account Created in:","Conta criada no:"
"Customer Group:","Grupo de clientes:"
"Default Billing Address","Endereço de cobrança padrão"
"Sales Statistics","Estatísticas de vendas"
"Web Site","Website"
"Store","Loja"
"Store View","Visão de Loja"
"Lifetime Sales","Vendas Acumuladas"
"Average Sale","Venda média"
"All Store Views","Todas as Visões de Loja"
"Change","Alterar"
"Manage Addresses","Gerenciar endereços"
"Default Shipping Address","Endereço de entrega padrão"
"Contact Information","Informações de Contato"
"Change Password","Alterar senha"
"Newsletters","Newsletter"
"You subscribe to ""General Subscription"".","Você se inscreveu na ""Lista Geral""."
"or","ou"
"Default Addresses","Endereços de padrão"
"Change Billing Address","Alterar endereço de cobrança"
"You have no default billing address in your address book.","Você não tem endereço de cobrança padrão no seu catalogo de endereço."
"Change Shipping Address","Altere seu endereço de entrega"
"You have no default shipping address in your address book.","Você não tem endereço de envio padrão em seu catalogo de endereço."
"Additional Address Entries","Endereço Adicional"
"Delete Address","Excluir endereço"
"You have no other address entries in your address book.","Você não tem outras entradas de endereços no catálogo de endereços."
"* Required Fields","* Campos Obrigatórios"
"Company","Empresa"
"Phone Number","Número do Telefone"
"Fax","Fax"
"Address","Endereço"
"Street Address","Endereço"
"Street Address %1","Rua"
"VAT Number","CPF/CNPJ"
"City","Cidade"
"State/Province","Estado/Província"
"Please select a region, state or province.","Por favor, selecione uma região, estado ou província."
"Zip/Postal Code","CEP"
"Country","País"
"Use as my default billing address","Usar como meu endereço padrão de cobrança"
"Use as my default shipping address","Usar como meu endereço padrão de entrega"
"Save Address","Salvar endereço"
"Go back","Retornar"
"Please enter your email below and we will send you the confirmation link.","Por favor, digite seu e-mail abaixo e nós lhe enviaremos o link de confirmação."
"Email","E-mail"
"Send confirmation link","Enviar link de confirmação"
"Back to Sign In","Voltar ao Login"
"Current Password","Senha atual"
"New Password","Nova Senha"
"Confirm New Password","Confirmar nova senha"
"Save","Salvar"
"Please enter your email address below to receive a password reset link.","Por favor, digite seu endereço de e-mail abaixo para receber o link para redefinição de senha."
"Submit","Enviar"
"Registered Customers","Clientes registados"
"If you have an account, sign in with your email address.","Se você tiver uma conta, acesse com seu endereço de e-mail e senha."
"Password","Senha"
"Login","Entrar"
"Forgot Your Password?","Esqueceu a sua senha?"
"Subscription option","Opção de assinatura"
"General Subscription","Subscrição Geral"
"Sign Up for Newsletter","Assinar Newsletter"
"Address Information","Informações de Endereço"
"Sign-in Information","Informações de acesso"
"Confirm Password","Confirmar Senha"
"Create an Account","Criar conta"
"Set a New Password","Definir uma nova senha"
"You have signed out and will go to our homepage in 5 seconds.","Você desconectou e irá retornar á nossa página em 5 segundos."
"New Customers","Novos Clientes"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Criar uma nova conta tem muitos benefícios: fechar pedidos mais rapidamente, registrar mais endereços, acompanhar pedidos e muito mais."
"Gender","Sexo"
"Name","Nome"
"Tax/VAT number","CPF/CNPJ"
"%name,","%name,"
"Welcome to %store_name.","Bem-vindo a %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Para efetuar login em nosso site, use suas credenciais durante pagamento ou na página <a href=""%customer_url"">Minha Conta</a>:"
"Email:","E-mail:"
"Password:","Senha:"
"Password you set when creating account","Senha que você definiu ao criar a conta"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Esqueceu sua senha? Clique <a href=""%reset_url""> aqui</a> para redefinir."
"When you sign in to your account, you will be able to:","Quando você entrar em sua conta, você vai poder:"
"Proceed through checkout faster","Finalizar a compra de forma mais rápida"
"Check the status of orders","Verificar o status dos seus pedidos"
"View past orders","Ver os pedidos que você já realizou"
"Store alternative addresses (for shipping to multiple family members and friends)","Cadastre endereços alternativos (para entregas para vários parentes ou amigos)"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Você precisa confirma seu %customer_email email antes de efetuar login (link de confirmação só poderá ser usado uma vez):"
"Confirm Your Account","Confirmar a sua conta"
"Thank you for confirming your %store_name account.","Obrigado por confirmar sua conta na %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Para entrar nosso site e criar uma senha, clique no <a href=""%create_password_url""> link</a>:"
"There was recently a request to change the password for your account.","Recentemente houve uma solicitação para alterar a senha da sua conta."
"If you requested this change, set a new password here:","Se você solicitou esta mudança, crie uma nova senha aqui:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Se você não fez esta solicitação, você pode ignorar este e-mail e sua senha permanecerá a mesma."
"The password for your account has been successfully changed.","A senha para sua conta foi alterada com sucesso."
"If you did not request this change, please contact us.","Se você não solicitou essa mudança, entre em contato conosco."
"Are you sure you want to do this?","Você tem que deseja fazer isso?"
"Are you sure you want to delete this address?","Você tem certeza que deseja excluir este endereço?"
"Customer Configuration","Configurações de cliente"
"Account Sharing Options","Opções de compartilhamento de conta"
"Share Customer Accounts","Compartilhar contas de clientes"
"Create New Account Options","Criar Novas Opções de Conta"
"Enable Automatic Assignment to Customer Group","Ativar a Atribuição Automática para Grupo de Clientes"
"Tax Calculation Based On","Cálculo do imposto com base no"
"Default Group","Grupo padrão"
"Group for Valid VAT ID - Domestic","Grupo de CPF/CNPJ válidos - Doméstico"
"Group for Valid VAT ID - Intra-Union","Grupo de CPF/CNPJ válidos - Intra-Union"
"Group for Invalid VAT ID","Grupo de CPF/CNPJ Inválido"
"Validation Error Group","Validar Erro de Grupo"
"Validate on Each Transaction","Validar em Cada Transação"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Storefront","Mostrar CNPJ na Frente de Loja"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Para mostrar o CNPJ na Frente de Loja, configure o Mostrar CNPJ na Frente de Loja como Sim."
"Default Email Domain","Domínio de E-mail Padrão"
"Default Welcome Email","Email padrão de boas vindas"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O modelo de e-mail escolhido baseado no tema ""fallback"" quando a opção ""Padrão"" é selecionada."
"Default Welcome Email Without Password","Padrão de E-mail de Boas Vindas Sem Senha"
"
                        This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.
                    ","
                        This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.
                    "
"Email Sender","Remetente do e-mail"
"Require Emails Confirmation","Requerer Confirmação de E-mail"
"Confirmation Link Email","Link de Confirmação de E-mail"
"Welcome Email","Email de boas vindas"
"
                        This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.
                    ","
                        This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.
                    "
"Generate Human-Friendly Customer ID","Gerar ID Amigável para Cliente"
"Password Options","Opções de Senha"
"Forgot Email Template","Modelo de E-mail de Recuperação de Senha"
"Remind Email Template","Lembrar Modelo de E-mail"
"Reset Password Template","Modelo de Redefinição de Senha"
"Password Template Email Sender","Modelo de Remetente de E-mail de Senha"
"Recovery Link Expiration Period (days)","Período de Expiração de Link de Recuperação (dias)"
"Please enter a number 1 or greater in this field.","Por favor, insira um número maior ou igual a 1 neste campo."
"Name and Address Options","Opções de Nome e Endereço"
"Number of Lines in a Street Address","Numero de Linhas em Endereço"
"Leave empty for default (2). Valid range: 1-4","Deixe vazio para padrão (2). Intervalo válido: 1-4"
"Show Prefix","Mostrar Prefixo"
"The title that goes before name (Mr., Mrs., etc.)","O titulo vem antes do nome (Mr., Mrs, etc.)"
"Prefix Dropdown Options","Opções de Prefixo de Menu Suspenso"
"
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    ","
Valores separados por Ponto e vírgula (;). <br /> Coloque ponto e vírgula no inicio para primeira opção vazia. <br /> Deixe em branco para campos de texto abertos."
"Show Middle Name (initial)","Mostrar Nome do Meio (initial)"
"Always optional.","Sempre opcional."
"Show Suffix","Mostrar Sufixo"
"The suffix that goes after name (Jr., Sr., etc.)","O sufixo que vai depois de nome (Jr, Sr., etc)"
"Suffix Dropdown Options","Opções de Dropdown de Sufixo"
"Show Date of Birth","Mostrar Data de Nascimento"
"Show Tax/VAT Number","Mostrar CPF/CNPJ"
"Show Gender","Mostrar Gênero Sexual"
"Login Options","Opções de Login"
"Redirect Customer to Account Dashboard after Logging in","Redirecionar Cliente para Dashboard depois do Login"
"Customer will stay on the current page if ""No"" is selected.","Clientes permanecerão na página corrente se ""Não"" estiver selecionado."
"Address Templates","Modelo de Endereço"
"Online Customers Options","Opções de Clientes Online"
"Online Minutes Interval","Intervalo de Minutos Online"
"Leave empty for default (15 minutes).","Deixe em branco para o padrão (15 minutos)."
"Enable Autocomplete on login/forgot password forms","Ativar AutoCompletar no form de login e form de recuperação de senha"
"Customer Grid","Tabela de Clientes"
"Rebuild Customer grid index","Reconstrua índice da tabela de clientes"
"Group","Grupo"
"Add New Customer","Adicionar Novo Cliente"
"Delete items","Excluir itens"
"Are you sure to delete selected customers?","Você tem certeza que deseja excluir os clientes selecionados?"
"Subscribe to Newsletter","Assinar newsletter"
"Unsubscribe from Newsletter","Cancelar assinatura de Newsletter"
"Are you sure to unsubscribe selected customers from newsletter?","Você está certo que deseja cancelar a assinatura de clientes na newsletter?"
"Assign a Customer Group","Atribuir um grupo de cliente"
"Are you sure to assign selected customers to new group?","Você tem certeza que deseja atribuir a clientes selecionados para um novo grupo?"
"Phone","Telefone"
"ZIP","CEP"
"Customer Since","Cliente desde"
"Last Logged In","Último login em"
"Confirmed email","E-mail confirmado"
"Account Created in","Conta criada em"
"Tax VAT Number","CPF/CNPJ"
"Billing Firstname","Nome de cobrança"
"Billing Lastname","Sobrenome de cobrança"
"First Name","Nome"
"Last Name","Sobrenome"
"Last Activity","Última atividade"
"Type","Tipo"
"Customer Information","Informações do cliente"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Se seu site tiver múltiplas visualizações, voce poderá configurar o escopo para aplicar uma visualização específica."
"Send Welcome Email From","Enviar E-mail de Bem Vindo Por"
"Addresses","Endereços"
"Are you sure you want to delete this item?","Você tem certeza que deseja excluir este item?"
"Account Dashboard","Painel de Clientes"
"Edit Account Information","Editar informações da conta"
"Password forgotten","Esqueci a senha"
"My Dashboard","Meu painel de controle"
"You are signed out.","You are signed out."
