"Invitations","Convites"
"Please correct the value for \"%1\" parameter, otherwise we'll use the saved value instead.","Please correct the value for \"%1\" parameter, otherwise we'll use the saved value instead."
"Same as Inviter","Same as Inviter"
"Default Customer Group from System Configuration","Default Customer Group from System Configuration"
"By Invitation Only","Só por convite"
"Available to All","Disponível para todos"
"Please correct the invitation code.","Please correct the invitation code."
"You need to specify a customer ID group.","You need to specify a customer ID group."
"The wrong store is specified.","A loja especificada está incorreta."
"You can't update this message.","You can't update this message."
"We can't generate encrypted code.","We can't generate encrypted code."
"We can't find an ID for this invitation.","We can't find an ID for this invitation."
"You can't send an invitation with status \"%1\".","You can't send an invitation with status \"%1\"."
"Please enter a valid invitation email.","Please enter a valid invitation email."
"We can't identify the proper website.","We can't identify the proper website."
"Please specify an email.","Por favor, especifique um e-mail."
"This invitation is addressed to a current customer: ""%1"".","This invitation is addressed to a current customer: ""%1""."
"This invitation is not valid.","This invitation is not valid."
"Please correct the invitation email.","Please correct the invitation email."
"Invitation for same email address","Invitation for same email address"
"Not Sent","Não Enviado"
"Sent","Enviado"
"Accepted","Accepted"
"Discarded","Descartados"
"Invitation Information","Invitation Information"
"Send At","Send At"
"Invitation Message","Invitation Message"
"Email","E-mail"
"Status","Status"
"Website","Website"
"Store View","Visão de Loja"
"Signed Up At","Signed Up At"
"Invitation URL","Invitation URL"
"Link","Link"
"Invitee Information","Invitee Information"
"Customer ID","ID do cliente"
"Customer Group","Grupo de clientes"
"First Name","Nome"
"Last Name","Sobrenome"
"Sign Up At","Sign Up At"
"Inviter Information","Informações do anfitrião"
"Admin","Admin"
"* Required Fields","* Campos Obrigatórios"
"Invite your friends by entering their email addresses","Convide seus amigos digitando seus endereços de e-mail"
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Add","Adicionar"
"Back to Invitations","Volta para convites"
"Remove","Remover"
"Enter Email","Digite o E-mail"
"You cannot send more invitations","Você não pode enviar mais convites"
"There are no sent invitations.","There are no sent invitations."
"Please accept this invitation to join %store_name.","Please accept this invitation to join %store_name."
"%store_name offers limited time sales of products only to members.","%store_name offers limited time sales of products only to members."
"Please use the following link to create an account and view the deals:","Por favor, use o link a seguir para criar uma conta e ver as ofertas:"
"Customer Invitation Email Sender","Customer Invitation Email Sender"
"Customer Invitation Email Template","Customer Invitation Email Template"
"Enable Invitations Functionality","Enable Invitations Functionality"
"Enable Invitations on Storefront","Enable Invitations on Storefront"
"Referred Customer Group","Referred Customer Group"
"New Accounts Registration","New Accounts Registration"
"Allow Customers to Add Custom Message to Invitation Email","Allow Customers to Add Custom Message to Invitation Email"
"Customer Invitations","Customer Invitations"
"Discard Selected","Discard Selected"
"Are you sure you want to do this?","Você tem que deseja fazer isso?"
"Send Selected","Send Selected"
"ID","ID"
"Invitee","Convidado"
"Registered","Registrado"
"Valid Website","Site válido"
"Name","Nome"
"Group","Grupo"
"Invitations Sent","Invitations Sent"
"Invitations Accepted","Invitations Accepted"
"Accept Rate","Accept Rate"
"Discard Rate","Discard Rate"
"Accepted and Purchased","Accepted and Purchased"
"Conversion Rate","Conversion Rate"
