"Root","Raiz"
"Integer","Inteiro"
"Globally Editable","Globalmente editável"
"Attribute Information","Informações de atributo"
"Properties","Propriedades"
"Manage Labels","Gerenciar rótulos"
"Visible","Visível"
"Web Site","Website"
"Searchable","Pesquisável"
"Comparable","Comparável"
"Delete Selected Group","Apagar Grupo Selecionado"
"Add New","Adicionar Novo"
"Back","Voltar"
"Delete","Excluir"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","You are about to delete all products in this attribute set. Are you sure you want to do that?"
"Save","Salvar"
"New Set Name","Novo Nome do Conjunto"
"Edit Attribute Set '%1'","Edit Attribute Set '%1'"
"Empty","Vazio"
"Add Attribute","Adicionar Atributo"
"Add New Group","Adicionar Novo Grupo"
"Add Group","Adicionar Grupo"
"Edit Attribute Set Name","Edit Attribute Set Name"
"For internal use","Para uso interno"
"Based On","Com Base Na"
"Add New Attribute Set","Add New Attribute Set"
"Add Attribute Set","Add Attribute Set"
"Attribute Sets","Attribute Sets"
"Close Window","Fechar Janela"
"New Product","Novo Produto"
"Save & Edit","Salvar e Editar"
"Save & New","Salvar e Novo"
"Save & Duplicate","Salvar e Duplicar"
"Save & Close","Salvar e Fechar"
"Attributes","Atributos"
"Change","Alterar"
"Advanced Inventory","Estoque Avançado"
"Websites","Websites"
"Products Information","Informação de produtos"
"Category Name","Nome da Categoria"
"Parent Category","Categoria Mãe"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>."
"We saved the price alert subscription.","Seu alerta de preço foi salvo."
"We saved the stock notification.","Sua notificação de estoque foi salva."
"There are no customers for this alert.","Não há clientes para esse alerta."
"First Name","Nome"
"Last Name","Sobrenome"
"Email","E-mail"
"Subscribe Date","Data de Assinatura"
"Last Notified","Última Notificação"
"Send Count","Total de Envios"
"New Attribute","Novo Atributo"
"Type","Tipo"
"Attribute Set","Conjunto de Atributos"
"Status","Status"
"Visibility","Visibilidade"
"Add New Option","Adicionar Nova Opção"
"Import Options","Importar Opções"
"Use Default","Usar Padrão"
"Import","Importar"
"Add New Row","Adicionar Nova Linha"
"Delete Row","Remover Linha"
"Tier Pricing","Nível de Preços"
"Default Price","Preço Padrão"
"All Websites","Todos os sites"
"ALL GROUPS","TODOS OS GRUPOS"
"Add Price","Add Price"
"Default Values","Valor Padrão"
"Related Products","Produtos Relacionados"
"Up-sells","Up-sells"
"Cross-sells","Cross-sells"
"Size for %1","Tamanho de %1"
"Watermark File for %1","Arquivo de marca d'água para %1"
"Position of Watermark for %1","Posição da marca d'água para %1"
"Name in %1","Nome em %1"
"Quantity","Quantidade"
"Edit","Editar"
"Are you sure?","Você tem certeza?"
"Change Status","Mudar Status"
"Update Attributes","Atualizar Atributos"
"Images and Videos","Imagens e Vídeos"
"Click here or drag and drop to add images.","Clique aqui ou arraste e solte para adicionar imagens."
"Delete image","Excluir Imagem"
"Make Base","Tornar Base"
"Hidden","Oculto"
"start typing to search category","comece a digitar para pesquisar categoria"
"New Category","Adicionar categoria"
"Images (.gif, .jpg, .png)","Imagens (. gif,. jpg,. png)"
"Add New Images","Adicionar Nova Imagem"
"Inc. Tax","Inc. Impostos"
"Does this have a weight?","Does this have a weight?"
"Product","Produto"
"Notify Low Stock RSS","Notificar baixo estoque via RSS"
"Low Stock Products","Produtos com estoque baixo"
"%1 has reached a quantity of %2.","%1 atingiu uma quantidade de %2."
"Home","Home"
"Go to Home Page","Ir para a página inicial"
"Subscribe to RSS Feed","Assinar o RSS Feed"
"Products Comparison List","Lista de Comparação de Produtos"
"N/A","Não Disponível"
"AM","AM"
"PM","PM"
"-- Please Select --","-- Selecione uma opção --"
"None","Nenhum"
"New Products from %1","Novos produtos de %1"
"New Products","Novos Produtos"
"%1 - Special Products","%1 - produtos especiais"
"Click for price","Clique para precificar"
"Special Expires On: %1","Especial expira em: %1"
"Price: %1","Preço: %1"
"Special Price: %1","Preço especial: %1"
"Special Products","Produtos especiais"
"You deleted the category.","Você excluiu a categoria."
"Something went wrong while trying to delete the category.","Algo deu errado ao tentar excluir a categoria."
"Categories","Categorias"
"Manage Catalog Categories","Gerenciar Catálogo de Categorias"
"Manage Categories","Gerenciar Categorias"
"Category is not available for requested store.","Categoria não está disponível para loja selecionada."
"There was a category move error.","Houve um erro na mudança de categoria."
"There was a category move error. %1","Houve um erro na mudança de categoria. %1"
"You moved the category","Você moveu a categoria"
"Attribute ""%1"" is required.","Atributo ""%1"" é obrigatório."
"Something went wrong while saving the category.","Algo deu errado ao salvar a categoria."
"You saved the category.","Você salvou a categoria."
"Please select products for attributes update.","Por favor selecione os produtos para atualização de atributos."
"Please make sure to define SKU values for all processed products.","Por favor, certifique-se de definir valores SKU para todos os produtos processados."
"A total of %1 record(s) were updated.","Um total de %1 registro(s) foram atualizados."
"Something went wrong while updating the product(s) attributes.","Algo deu errado ao atualizar os atributos do(s) produto(s)."
"Catalog","Catálogo"
"Manage Product Attributes","Gerenciar os atributos do produto"
"We can't delete the attribute.","Não é possível excluir o atributo."
"You deleted the product attribute.","Você excluiu o atributo do produto."
"We can't find an attribute to delete.","Atributo não encontrado para exclusão."
"This attribute no longer exists.","Este atributo não existe mais."
"This attribute cannot be edited.","Esse atributo não pode ser editado."
"Edit Product Attribute","Editar atributo do produto"
"An attribute set named '%1' already exists.","Um atributo chamado '%1' já existe."
"Something went wrong while saving the attribute.","Problema ao salvar o atributo."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","Não é possível atualizar o atributo."
"You saved the product attribute.","Você salvou o atributo do produto."
"An attribute with this code already exists.","Um atributo com esse código já existe."
"An attribute with the same code (%1) already exists.","Um atributo com o mesmo código (%1) já existe."
"You duplicated the product.","Você duplicou o produto."
"This product no longer exists.","Este produto não existe mais."
"Products","Produtos"
"A group with the same name already exists.","Um grupo com o mesmo nome já existe."
"Something went wrong while saving this group.","Algo deu errado ao salvar este grupo."
"A total of %1 record(s) have been deleted.","Um total de %1 registro(s) foram excluídos."
"A total of %1 record(s) have been updated.","Um total de %1 registro(s) foram atualizados."
"Something went wrong while updating the product(s) status.","Algo deu errado ao atualizar o status do produto(s)."
"Unable to save product","Não foi possível salvar o produto"
"You saved the product.","Você salvou o produto."
"SKU for product %1 has been changed to %2.","SKU do produto %1 foi alterado para %2."
"The image cannot be removed as it has been assigned to the other image role","The image cannot be removed as it has been assigned to the other image role"
"New Attribute Set","New Attribute Set"
"The attribute set has been removed.","The attribute set has been removed."
"We can't delete this set right now.","Não é possível excluir este conjunto agora."
"New Set","Novo Conjunto"
"Manage Product Sets","Gerenciar Conjuntos de Produtos"
"Manage Attribute Sets","Manage Attribute Sets"
"This attribute set no longer exists.","This attribute set no longer exists."
"You saved the attribute set.","You saved the attribute set."
"Something went wrong while saving the attribute set.","Something went wrong while saving the attribute set."
"You added product %1 to the comparison list.","Você adicionou o produto %1 à lista de comparação."
"You cleared the comparison list.","Você limpou a lista de comparação."
"Something went wrong  clearing the comparison list.","Algo deu errado ao limpar a lista de comparação."
"You removed product %1 from the comparison list.","Você removeu o produto %1 da lista de comparação."
"1 item","1 item"
"%1 items","%1 itens"
"Invalid attribute %1","Atributo inválido %1"
"Grid","Grade"
"List","Lista"
"All","Todos"
"Product is not loaded","Produto não está carregado"
"Bad controller interface for showing product","Interface do controller inválida para visualizar o produto"
"Make sure the To Date is later than or the same as the From Date.","Certifique-se de que a Data de Término é posterior ou igual a Data de Início."
"Sorry, but we can't find the new parent category you selected.","Desculpe, mas não conseguimos encontrar a nova categoria mãe selecionada."
"Sorry, but we can't find the new category you selected.","Desculpe, mas não conseguimos encontrar a nova categoria selecionada."
"We can't move the category because the parent category name matches the child category name.","Não é possível mover a categoria porque o nome da categoria mãe coincide com o nome de categoria filho."
"Can't delete root category.","Não é possível excluir a categoria principal."
"The value of attribute ""%1"" must be unique.","O valor do atributo ""%1"" deve ser exclusivo."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Ordernação Padrão Produto na Listagem não existe nas Opções Disponíveis para Ordenação do Produto na Listagem."
"No layout updates","Não há atualizações de layout"
"Products only","Somente produtos"
"Static block only","Somente bloco estático"
"Static block and products","Bloco estático e produtos"
"Please select a static block.","Por favor, selecione um bloco estático."
"frontend_label","rótulo_frontend"
"Could not save product ""%1"" with position %2 to category %3","Não foi possível gravar o produto ""%1"" com a posição ""%2"" na categoria ""%3"""
"Category does not contain specified product","Categoria não contém produto especificado"
"Could not save product ""%product"" with position %position to category %category","Could not save product ""%product"" with position %position to category %category"
"Operation do not allow to move a parent category to any of children category","Operação não permite mover uma categoria mãe para qualquer categoria filho"
"Could not move category","Não é possivel mover a categoria"
"Could not save category: %1","Não foi possível salvar a categoria: %1"
"Cannot delete category with id %1","Não é possível excluir a categoria com id %1"
"-- Please Select a Category --","--Por Favor, Selecione uma Categoria--"
"Grid Only","Apenas Grade"
"List Only","Apenas Lista"
"Grid (default) / List","Grade (padrão) / Lista"
"List (default) / Grid","Lista (padrão) / Grade"
"Automatic (equalize price ranges)","Automático (equalizar variação de preço)"
"Automatic (equalize product counts)","Automático (equalizar contagens de produto)"
"Manual","Manual"
"Fixed","Fixo"
"Percent","Por cento"
"-- Please select --","-- Selecione uma opção --"
"Product Thumbnail Itself","Miniatura de Produto Em Si"
"Parent Product Thumbnail","Miniatura de Produto Mãe"
"12h AM/PM","12h AM/PM"
"24h","24h"
"Stretch","Ajustar"
"Tile","Lado a Lado"
"Top/Left","Superior/Esquerda"
"Top/Right","Superior/Direita"
"Bottom/Left","Inferior/Esquerda"
"Bottom/Right","Inferior/Direita"
"Center","Centralizar"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 não se estende a \Magento\Framework\Model\AbstractModel"
"Unknown EAV indexer type ""%1"".","Índice EAV tipo ""%1"" desconhecido."
"We can't rebuild the index for an undefined product.","Não é possível recriar o índice para um produto indefinido."
"Bad value was supplied.","Valor fornecido é inválido."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module"
"Unsupported product type ""%1"".","Tipo de produto ""%1"" não suportado."
"Please correct the category.","Por favor, corrija a categoria."
"Must be category model instance or its id.","Deve ser uma instância do model de categoria ou seu id."
"The attribute model is not defined.","O modelo do atributo não foi definido."
"Category","Categoria"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 não foi encontrado nos algoritmos"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 não se estende \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 não se estende a \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","O filtro deve ser um objeto. Por favor, defina o filtro corretamente."
"Clear Price","Limpar Preço"
"%1 and above","%1 e acima"
"The filters must be an array.","Os filtros devem ser uma matriz."
"The image does not exist.","A imagem não existe."
"Please correct the image file type.","Por favor, defina corretamente o tipo de arquivo de imagem."
"We couldn't move this file: %1.","Não é possível mover esse arquivo: %1."
"Group price must be a number greater than 0.","Preço do grupo deve ser um número maior que 0."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Não é possível copiar o arquivo %1. Por favor, excluir a mídia com imagens inexistentes e tente novamente."
"Media Gallery converter should be an instance of EntryConverterInterface.","Conversor de Galeria de Mídia deve ser uma instância de EntryConverterinterface."
"There is no MediaGalleryEntryConverter for given type","Não existe MediaGalleryEntryConverter para tipo selecionado"
"Please enter a number 0 or greater in this field.","Por favor, insira um número maior ou igual a 0 neste campo."
"The value of attribute ""%1"" must be set","O valor do atributo ""%1"" deve ser definido"
"SKU length should be %1 characters maximum.","Tamanho do SKU deve ter, no máximo, %1 caracteres."
"Please enter a valid number in this field.","Por favor, insira um número válido neste campo."
"We found a duplicate website, tier price, customer group and quantity.","Encontramos um website, preço de camada, grupo de clientes e quantidade duplicados."
"Invalid option id %1","Opção inválida id %1"
"Can not create attribute set based on non product attribute set.","Não é possível criar o conjunto de atributos com base em um conjunto de atributos de produtos não especificado."
"Can not create attribute set based on not existing attribute set","Não é possível criar um conjunto de atributos baseado em um conjunto de atributos não existente"
"Provided Attribute set non product Attribute set.","O conjunto de atributos indicado não é um conjunto de atributos de produto."
"Use config","Usar o config"
"Enabled","Habilitado"
"Disabled","Desabilitado"
"Attribute Set already exists.","Attribute Set already exists."
"Requested product does not support images.","O produto selecionado não oferece suporte a imagens."
"The image content is not valid.","O conteúdo da imagem não é válido."
"Cannot save product.","Não foi possível salvar o produto."
"Failed to save new media gallery entry.","Falha ao salvar as novas entradas da galeria."
"There is no image with provided ID.","Não há nenhuma imagem com o ID fornecido."
"Such product doesn't exist","Não existe tal produto"
"Such image doesn't exist","A imagem não existe"
"We can't find the image file.","O arquivo de imagem não foi localizado."
"The option type to get group instance is incorrect.","O tipo da opção para receber a instância do grupo está incorreta."
"Select type options required values rows.","As linha de valores são obrigatórias para este tipo de opção."
"Could not save product option","Não foi possível salvar a opção de produto"
"Could not remove custom option","Não foi possível remover opção personalizada"
"Please specify date required option(s).","Por favor, especifique as opções de data solicitadas."
"Please specify time required option(s).","Por favor, especifique as opções de data solicitada(s)."
"Please specify product's required option(s).","Por favor, especifique opções necessárias do produto."
"The option instance type in options group is incorrect.","O tipo de instância da opção está incorreto no grupo de opções."
"The product instance type in options group is incorrect.","O tipo de instância do produto no grupo de opções está incorreto."
"The configuration item option instance in options group is incorrect.","A instância de opção de item de configuração no grupo de opções está incorreta."
"The configuration item instance in options group is incorrect.","A instância de configuração do item no grupo de opções está incorreta."
"The BuyRequest instance in options group is incorrect.","A instancia de Pedido de Compra no grupo de opção está incorreta."
"We can't add the product to the cart because of an option validation issue.","Não podemos adicionar o produto no carrinho de compras devido a um problema de validação."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 não estende \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","O formato do arquivo de opções é inválido."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","O arquivo '%1' para '%2' tem uma extensão inválida."
"The maximum allowed image size for '%1' is %2x%3 px.","O tamanho máximo permitido da imagem é '%1' é %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","O arquivo '%1' você carregou é maior do que o %2 megabytes permitidos pelo nosso servidor."
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
"The file '%1' is invalid. Please choose another one","The file '%1' is invalid. Please choose another one"
"File '%1' is not an image.","Arquivo '%1' não é uma imagem."
"Validation failed. Required options were not filled or the file was not uploaded.","Falha na validação. Opções solicitadas não foram preenchidas ou o arquivo não foi carregado."
"The file you uploaded is larger than %1 Megabytes allowed by server","O arquivo que você carregou é maior do que %1 Megabytes permitidos pelo servidor"
"Option required.","Opção obrigatória."
"The file is empty. Please choose another one","The file is empty. Please choose another one"
"Some of the selected item options are not currently available.","Opções de itens selecionados não estão disponíveis atualmente."
"The text is too long.","O texto é muito longo."
"This product doesn't have tier price","Este produto não tem preço"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3"
"Invalid data provided for tier_price","Dados inválidos fornecidos para tier_price"
"Please provide valid data","Por favor, forneça dados válidos"
"Values of following attributes are invalid: %1","Os valores dos seguintes atributos são inválidos: %1"
"Could not save group price","Não foi possível salvar o grupo de preço"
"We can't create writeable directory \"%1\".","We can't create writeable directory \"%1\"."
"The file upload failed.","O carregamento do arquivo falhou."
"The product has required options.","O produto requer opções."
"Something went wrong while processing the request.","Problema ao processar a requisição/pedido."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 não se estende a \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 não se estende a \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Não Visível Individualmente"
"Search","Pesquisa"
"Catalog, Search","Catálogo, Pesquisa"
"Something went wrong while removing products from the websites.","Problema ao remover produtos dos websites."
"Something went wrong while adding products to websites.","Problema ao adicionar produtos ao website."
"Group with id ""%1"" does not exist.","Grupo com id ""%1"" não existe."
"Attribute group that contains system attributes can not be deleted","Grupo de atributo que contém atributos de sistema não pode ser excluído"
"Collection provider is not registered","Coleção fornecida não foi registrada"
"Unknown link type: %1","Tipo de link desconhecido: %1"
"Provided link type ""%1"" does not exist","Tipo de link ""%1"" fornecido não existe"
"Invalid data provided for linked products","Dados fornecidos para produtos vinculados é inválido"
"Product with SKU %1 is not linked to product with SKU %2","Produto com %1 SKU não está relacionado ao produto com SKU %2"
"Product %1 doesn't have linked %2 as %3","Produto %1 não tem %2 vinculado a %3"
"Requested product doesn't exist","Produto requisitado não existe"
"Product option with id %1 does not exist","Não existe opção de produto com id %1"
"Product with SKU ""%1"" does not exist","Não existe produto com SKU ""%1"""
"Invalid product data: %1","Dados do produto inválido: %1"
"Unable to remove product %1","Não é possível remover o produto %1"
"There are not websites for assign to product","There are not websites for assign to product"
"Could not assign product ""%1"" to websites ""%2""","Could not assign product ""%1"" to websites ""%2"""
"Could not save product ""%1"" with websites %2","Could not save product ""%1"" with websites %2"
"Attribute '%1' is locked. %2","Atributo '%1' está bloqueado. %2"
"Do not change the scope. %1","Não altere o escopo. %1"
"A product type is not defined for the indexer.","Um tipo de produto não está definido para indexação."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Multiple Select","Múltipla Seleção"
"Dropdown","Menu suspenso"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 não se estende \Magento\Framework\Filter\Template"
"As low as","Tão baixo quanto"
"message","mensagem"
"fl","fl"
"123","123"
"Select...","Selecionar..."
"Are you sure you want to delete this category?","Você tem certeza que deseja excluir essa categoria?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Definir a categoria raiz para esta loja em <a href=""%1""> configuração</a>."
"This operation can take a long time","Esta operação pode levar bastante tempo"
"Collapse All","Recolher tudo"
"Expand All","Expandir Tudo"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor, confirme a mudança de escopo. Todos os dados que ainda não foram salvos serão perdidos."
"Use Default Value","Usar o Valor Padrão"
"Manage Titles (Size, Color, etc.)","Gerenciar Títulos (tamanho, cor, etc.)"
"Manage Options (values of your attribute)","Gerenciar Opções (valores do seu atributo)"
"Is Default","É o Padrão"
"Add Option","Adicionar opção"
"Sort Option","Opção de Ordenação"
"Groups","Grupos"
"Double click on a group to rename it.","Clique duas vezes em um grupo para renomeá-lo."
"Unassigned Attributes","Atributos Não Associados"
"A name is required.","Um nome é necessário."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contém os atributos de sistema. Por favor mover atributos do sistema para outro grupo e tente novamente."
"Please enter a new group name.","Por favor, digite um novo nome para o grupo."
"An attribute group named \"/name/\" already exists\".","An attribute group named \"/name/\" already exists\"."
"Sorry, we're unable to complete this request.","Desculpe, não foi possível concluir esta solicitação."
"You can't remove attributes from this attribute set.","You can't remove attributes from this attribute set."
"Custom Options","Opções personalizadas"
"This is a required option.","Esta é uma opção obrigatória."
"The field isn't complete.","O campo não está completo."
"Compatible file extensions to upload","Extensões de arquivo compatíveis para envio"
"Maximum image width","Largura máxima da imagem"
"Maximum image height","Altura máxima da imagem"
"Maximum number of characters:","Número máximo de caracteres:"
"start typing to search template","start typing to search template"
"Product online","Produto on-line"
"Product offline","Produto off-line"
"Product online status","Status do produto on-line"
"Manage Stock","Gerenciar Estoque"
"Qty","Qtd"
"Out-of-Stock Threshold","Indisponível no estoque"
"Minimum Qty Allowed in Shopping Cart","Quantidade Mínima Permitida no Carrinho"
"Maximum Qty Allowed in Shopping Cart","Quantidade Máxima Permitida no Carrinho"
"Qty Uses Decimals","Qtd Usa Casas Decimais"
"Backorders","Pedidos pendentes"
"Notify for Quantity Below","Notificar para Quantidade Abaixo"
"Enable Qty Increments","Habilitar os Incrementos de Qtd"
"Qty Increments","Incrementos de Qtd"
"Stock Availability","Disponibilidade de Estoque"
"In Stock","Em Estoque"
"Out of Stock","Fora de Estoque"
"Add Product To Websites","Adicionar Produto Para Websites"
"Remove Product From Websites","Remover Produto dos Websites"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Para ocultar um item no catálogo ou resultado de buscas, defina o status para ""Desativado""."
"We can't save custom-defined options for bundles with dynamic pricing.","Não é possível gravar opções personalizadas para pacotes com precificação dinâmica."
"Delete Custom Option","Excluir Opção Personalizada"
"Sort Custom Options","Ordenar Opções Customizadas"
"Option Title","Opção de título"
"Input Type","Tipo de input"
"Required","Obrigatório"
"Price Type","Tipo de preço"
"Compatible File Extensions","Extensões de Arquivo Compatíveis"
"Maximum Image Size","Tamanho Máximo da Imagem"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Please leave blank if it is not an image.","Por favor, deixe em branco se não for uma imagem."
"Title","Título"
"Sort Custom Option","Ordenar Opção Customizada"
"Max Characters","Caracteres Máximo"
"Customer Group","Grupo de clientes"
"Item Price","Preço do item"
"Action","Ação"
"and above","e acima"
"Delete Tier","Excluir Camada"
"Product In Websites","Produto em Websites"
"(Copy data from: %1)","(Copiar dados de: %1)"
"Alt Text","Texto Alternativo"
"Role","Função"
"Hide from Product Page","Ocultar da Página de Produtos"
"Close panel","Fechar Painel"
"Product Alerts","Alertas de Produto"
"Allow Multiple Boxes for Shipping.","Permitir vários pacotes para envio."
"start typing to search attribute","start typing to search attribute"
"Basic Settings","Configurações Básicas"
"Advanced Settings","Configurações Avançadas"
"Changes have been made to this section that have not been saved.","Não foram salvas mudanças feitas nessa seleção."
"This tab contains invalid data. Please resolve this before saving.","Essa aba contém dados inválidos. Por favor corrija antes de salvar."
"Actions","Ações"
"Mass Actions","Ações em massa"
"Select All","Selecionar Todos"
"Unselect All","Deselecionar Todos"
"Select Visible","Selecionar Todos da Página"
"Unselect Visible","Desmarcar Todos da Página"
"Special Price","Preço Especial"
"Regular Price","Preço normal"
"Buy %1 for: ","Compre %1 para: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Comprar %1 para %2 cada e <strong class=""benefit""> Salvar<span class=""percent tier-%3"">%4%</span></strong>"
"Buy %1 for %2 each","Comprar %1 para %2 cada"
"Shop By","Filtrar por"
"Shopping Options","Opções de Compra"
"Compare Products","Comparar Produtos"
"Print This Page","Imprimir esta Página"
"Remove Product","Remover Produto"
"Add to Cart","Adicionar ao Carrinho"
"In stock","Em estoque"
"Out of stock","Fora de estoque"
"Add to Wish List","Adicionar à lista de desejos"
"You have no items to compare.","Você não tem ítens para comparar."
"Remove This Item","Remover este Item"
"Compare","Comparar"
"Clear All","Limpar Tudo"
"Prev","Anterior"
"Next","Próximo"
"We can't find products matching the selection.","Não encontramos produtos correspondentes a seleção."
"Add to Compare","Adicionar à Comparação"
"Learn More","Saiba Mais"
"We found other products you might like!","Encontramos outros produtos que você pode gostar!"
"More Choices:","Mais opções:"
"Check items to add to the cart or","Verifique itens para adicionar ao carrinho ou"
"select all","selecionar tudo"
"Items %1-%2 of %3","Itens %1-%2 de %3"
"%1 Item","%1 Item"
"%1 Items","%1 itens"
"Show","Mostrar"
"per page","por página"
"Sort By","Ordenar por"
"Set Ascending Direction","Definir Direção Crescente"
"Set Descending Direction","Definir Direção Decrescente"
"View as","Ver como"
"More Information","Mais informações"
"Loading...","Carregando..."
"* Required Fields","* Campos Obrigatórios"
"Availability","Disponibilidade"
"Warning message","Mensagem de aviso"
"Ok","Ok"
"Cancel","Cancelar"
"Submit","Enviar"
"We don't recognize or support this file extension type.","Nós não reconhecemos ou suportamos este tipo de extensão de arquivo."
"Configure Product","Configurar produto"
"OK","OK"
"Select type of option.","Selecione o tipo de opção."
