"Delete Selected Problems","Excluir os problemas selecionados"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Choose Store View:","Choose Store View:"
"Newsletter Message Preview","Newsletter Message Preview"
"Add to Queue","Add to Queue"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Please enter a new template name.","Please enter a new template name."
" Copy"," Copy"
"Are you sure you want to delete this template?","Você tem certeza que quer excluir este modelo?"
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Enter your email address","Digite seu email"
"Subscribe","Assinar"
"Thank you for subscribing to our newsletter.","Thank you for subscribing to our newsletter."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:"
"You have been successfully subscribed to our newsletter.","You have been successfully subscribed to our newsletter."
"You have been unsubscribed from the newsletter.","You have been unsubscribed from the newsletter."
"Subscription Options","Opções de assinaturas"
"Allow Guest Subscription","Allow Guest Subscription"
"Need to Confirm","Need to Confirm"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O modelo de e-mail escolhido baseado no tema ""fallback"" quando a opção ""Padrão"" é selecionada."
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"We found no problems.","We found no problems."
"Subscriber","Assinante"
"Queue Start Date","Queue Start Date"
"Queue Subject","Queue Subject"
"Error Code","Código de erro"
"Error Text","Texto de erro"
"Queue Start","Queue Start"
"Queue End","Queue End"
"Status","Status"
"Processed","Processado"
"Recipients","Destinatários"
"Unsubscribe","Unsubscribe"
"Delete","Excluir"
"CSV","CSV"
"Excel XML","Excel, XML"
"Email","E-mail"
"Type","Tipo"
"Guest","Visitante"
"Customer","Cliente"
"Customer First Name","Nome do cliente"
"Customer Last Name","Sobrenome do cliente"
"Not Activated","Not Activated"
"Subscribed","Subscribed"
"Unsubscribed","Unsubscribed"
"Unconfirmed","Não confirmados"
"Web Site","Website"
"Store","Loja"
"Store View","Visão de Loja"
"Newsletter Subscriptions","Newsletter Subscriptions"
